"Year","state","OCC_CODE","OCC_TITLE","O_GROUP","TOT_EMP","JOBS_1000","H_MEAN","Mean_Salary","H_PCT10","H_PCT90","H_MEDIAN","A_PCT10","A_PCT90","Median_Salary","Keyword"
"2021","Delaware","15-2051","data scientists","detailed","370","0.85299999999999998","61.45","127810","37.82","80.680000000000007","61.22","78670","167810","127330","Data Science"
"2021","District of Columbia","00-0000","all occupations","total","661960","1000","47.29","98370","17.309999999999999","82.93","38.44","36010","172490","79960","All US Occupations"
"2021","District of Columbia","15-1221","computer and information research scientists","detailed","390","0.58399999999999996","59.26","123260","30.56","86.38","63.2","63570","179670","131460","Machine Learning"
"2021","District of Columbia","15-1242","database administrators","detailed","570","0.86699999999999999","50","104010","29.42","63.3","48.56","61200","131660","101000","Data Engineering"
"2021","District of Columbia","15-1243","database architects","detailed","770","1.1579999999999999","61.63","128190","38.22","81.13","62.4","79490","168750","129790","Data Architecture"
"2021","District of Columbia","15-2031","operations research analysts","detailed","2190","3.3029999999999999","43.58","90650","23.68","74.61","38.01","49250","155190","79050","Data Analytics"
"2021","District of Columbia","15-2051","data scientists","detailed","1380","2.0870000000000002","56.48","117470","36.04","81.02","49.38","74970","168520","102700","Data Science"
"2021","Florida","00-0000","all occupations","total","8605610","1000","24.98","51950","10.93","46.34","18.23","22720","96380","37920","All US Occupations"
"2021","Florida","15-1221","computer and information research scientists","detailed","1630","0.19","63.54","132170","37.26","92.68","61.04","77500","192770","126950","Machine Learning"
"2021","Florida","15-1242","database administrators","detailed","4610","0.53600000000000003","45.19","93990","23.17","63.14","45.67","48190","131340","94980","Data Engineering"
"2021","Florida","15-1243","database architects","detailed","2040","0.23699999999999999","55.43","115300","23.2","81.19","57.81","48260","168880","120240","Data Architecture"
"2021","Florida","15-2031","operations research analysts","detailed","5930","0.68899999999999995","34.020000000000003","70760","17.87","52.34","30.03","37170","108870","62460","Data Analytics"
"2021","Florida","15-2051","data scientists","detailed","4590","0.53300000000000003","43.68","90850","28.5","63.14","37.49","59290","131340","77980","Data Science"
"2021","Georgia","00-0000","all occupations","total","4378430","1000","25.93","53940","10.28","47.94","18.43","21390","99700","38340","All US Occupations"
"2021","Georgia","15-1221","computer and information research scientists","detailed","510","0.115","42.54","88480","29.71","59.32","38.369999999999997","61800","123390","79810","Machine Learning"
"2021","Georgia","15-1242","database administrators","detailed","3850","0.879","42.75","88920","23.25","63","44.82","48370","131040","93220","Data Engineering"
"2021","Georgia","15-1243","database architects","detailed","1920","0.44","60.73","126310","36.26","80.989999999999995","61.39","75410","168470","127690","Data Architecture"
"2021","Georgia","15-2031","operations research analysts","detailed","4420","1.0089999999999999","37.15","77270","20.55","60.54","35.67","42730","125930","74190","Data Analytics"
"2021","Georgia","15-2051","data scientists","detailed","4340","0.99099999999999999","50.36","104760","28.62","78.02","48.38","59530","162280","100620","Data Science"
"2021","Hawaii","00-0000","all occupations","total","548410","1000","28.73","59760","13.71","48.72","22.93","28520","101340","47700","All US Occupations"
"2021","Hawaii","15-1221","computer and information research scientists","detailed","80","0.14399999999999999","52.99","110210","35.69","61.11","57.89","74240","127110","120410","Machine Learning"
"2021","Hawaii","15-1242","database administrators","detailed","130","0.24299999999999999","44.55","92650","23.73","61.45","47.43","49350","127820","98650","Data Engineering"
"2021","Hawaii","15-1243","database architects","detailed","40","7.2999999999999995E-2","43.87","91250","23.89","61.39","38.99","49690","127690","81110","Data Architecture"
"2021","Hawaii","15-2031","operations research analysts","detailed","390","0.70699999999999996","50.26","104540","38.01","62.14","47.44","79050","129240","98680","Data Analytics"
"2021","Hawaii","15-2051","data scientists","detailed","70","0.12","40.479999999999997","84200","18.55","72.959999999999994","38.54","38590","151760","80150","Data Science"
"2021","Idaho","00-0000","all occupations","total","756910","1000","23.05","47940","10.76","38.35","18.05","22380","79780","37550","All US Occupations"
"2021","Idaho","15-1221","computer and information research scientists","detailed","50","7.0000000000000007E-2","56.72","117990","38.4","79.33","62.54","79870","165010","130070","Machine Learning"
"2021","Idaho","15-1242","database administrators","detailed","280","0.36799999999999999","36.18","75250","22.63","57.69","36.43","47080","119990","75770","Data Engineering"
"2021","Idaho","15-1243","database architects","detailed","80","0.105","66.33","137960","38.54","81.14","63.42","80170","168760","131910","Data Architecture"
"2021","Idaho","15-2031","operations research analysts","detailed","420","0.55500000000000005","33.700000000000003","70100","14.99","61.87","29.71","31190","128700","61800","Data Analytics"
"2021","Idaho","15-2051","data scientists","detailed","150","0.19500000000000001","47.71","99240","37.32","61.96","47.62","77620","128880","99040","Data Science"
"2021","Illinois","00-0000","all occupations","total","5618830","1000","28.68","59650","11.76","49.75","22.42","24470","103490","46630","All US Occupations"
"2021","Illinois","15-1221","computer and information research scientists","detailed","170","3.1E-2","55.79","116040","32.78","85.78","52.79","68180","178410","109810","Machine Learning"
"2021","Illinois","15-1242","database administrators","detailed","5380","0.95699999999999996","46.97","97700","23.26","78.260000000000005","40.14","48370","162770","83480","Data Engineering"
"2021","Illinois","15-1243","database architects","detailed","1390","0.247","53.14","110530","24.09","79.84","49.67","50110","166070","103310","Data Architecture"
"2021","Illinois","15-2031","operations research analysts","detailed","3970","0.70699999999999996","46.98","97720","28.62","62.39","47.39","59530","129760","98580","Data Analytics"
"2021","Illinois","15-2051","data scientists","detailed","4670","0.83","50","104010","29.28","73.209999999999994","47.94","60900","152270","99720","Data Science"
"2021","Indiana","00-0000","all occupations","total","2983410","1000","24.25","50440","11.05","38.950000000000003","18.43","22980","81010","38330","All US Occupations"
"2021","Indiana","15-1221","computer and information research scientists","detailed","160","5.5E-2","49.72","103420","37.01","74.87","44.98","76980","155720","93560","Machine Learning"
"2021","Indiana","15-1242","database administrators","detailed","1140","0.38200000000000001","39.42","82000","22.78","60.95","37.880000000000003","47370","126780","78790","Data Engineering"
"2021","Indiana","15-1243","database architects","detailed","630","0.21","46.41","96540","23.38","63.68","47.77","48640","132460","99360","Data Architecture"
"2021","Indiana","15-2031","operations research analysts","detailed","1290","0.43099999999999999","36.869999999999997","76680","22.87","57.31","35.75","47570","119200","74350","Data Analytics"
"2021","Indiana","15-2051","data scientists","detailed","2150","0.72","36.19","75280","21.24","57.69","34.89","44180","119990","72580","Data Science"
"2021","Iowa","00-0000","all occupations","total","1484970","1000","24.59","51140","11.13","39.26","18.79","23160","81660","39070","All US Occupations"
"2021","Iowa","15-1221","computer and information research scientists","detailed","**","**","61.44","127800","38.32","66.349999999999994","64.67","79710","138010","134520","Machine Learning"
"2021","Iowa","15-1242","database administrators","detailed","550","0.37","43.39","90260","22.29","61.52","46.98","46360","127970","97710","Data Engineering"
"2021","Iowa","15-1243","database architects","detailed","210","0.13900000000000001","55.51","115450","37.799999999999997","75.66","49.57","78620","157380","103110","Data Architecture"
"2021","Iowa","15-2031","operations research analysts","detailed","430","0.28899999999999998","35.380000000000003","73580","17.489999999999998","59.44","36.33","36370","123630","75560","Data Analytics"
"2021","Iowa","15-2051","data scientists","detailed","1510","1.018","43.98","91470","24.19","62.25","46.62","50320","129490","96970","Data Science"
"2021","Kansas","00-0000","all occupations","total","1339170","1000","23.88","49680","10.71","40.57","18.29","22270","84390","38050","All US Occupations"
"2021","Kansas","15-1221","computer and information research scientists","detailed","50","3.5000000000000003E-2","43.54","90560","36.33","56.68","38.49","75570","117890","80050","Machine Learning"
"2021","Kansas","15-1242","database administrators","detailed","580","0.433","42.81","89040","23.6","61.96","38.6","49080","128880","80290","Data Engineering"
"2021","Kansas","15-1243","database architects","detailed","190","0.13900000000000001","51.2","106500","28.77","78.540000000000006","48.82","59830","163350","101550","Data Architecture"
"2021","Kansas","15-2031","operations research analysts","detailed","530","0.39800000000000002","40.11","83430","25.75","60.08","37.04","53550","124970","77040","Data Analytics"
"2021","Kansas","15-2051","data scientists","detailed","190","0.13900000000000001","44.75","93070","29.28","63.14","43.99","60900","131340","91500","Data Science"
"2021","Kentucky","00-0000","all occupations","total","1838410","1000","23.16","48170","10.72","38.08","18.11","22290","79210","37660","All US Occupations"
"2021","Kentucky","15-1221","computer and information research scientists","detailed","150","8.4000000000000005E-2","48.34","100540","23.87","81.19","38.71","49650","168880","80520","Machine Learning"
"2021","Kentucky","15-1242","database administrators","detailed","590","0.32100000000000001","35.9","74680","21.95","55.61","31.49","45660","115660","65500","Data Engineering"
"2021","Kentucky","15-1243","database architects","detailed","400","0.217","48.2","100260","29.37","63.07","48.86","61090","131180","101620","Data Architecture"
"2021","Kentucky","15-2031","operations research analysts","detailed","1010","0.55000000000000004","30.21","62830","18.350000000000001","48.37","29.14","38170","100610","60610","Data Analytics"
"2021","Kentucky","15-2051","data scientists","detailed","**","**","38.39","79860","28.19","48.81","36.39","58640","101530","75680","Data Science"
"2021","Louisiana","00-0000","all occupations","total","1793600","1000","22.95","47740","8.82","38.92","17.940000000000001","18340","80950","37320","All US Occupations"
"2021","Louisiana","15-1221","computer and information research scientists","detailed","170","9.5000000000000001E-2","36.35","75600","22.99","54.63","36.14","47820","113630","75160","Machine Learning"
"2021","Louisiana","15-1242","database administrators","detailed","320","0.17599999999999999","45.32","94270","23.32","66.680000000000007","36.06","48510","138700","75000","Data Engineering"
"2021","Louisiana","15-1243","database architects","detailed","**","**","34.14","71020","16.34","61.16","30.4","33980","127210","63240","Data Architecture"
"2021","Louisiana","15-2031","operations research analysts","detailed","240","0.13300000000000001","37.78","78570","21.43","53.92","37.17","44570","112150","77320","Data Analytics"
"2021","Louisiana","15-2051","data scientists","detailed","130","7.2999999999999995E-2","38.21","79470","22.63","60.95","36.049999999999997","47080","126780","74980","Data Science"
"2021","Maine","00-0000","all occupations","total","592000","1000","25.59","53230","13.84","41.22","20.65","28790","85740","42950","All US Occupations"
"2021","Maine","15-1242","database administrators","detailed","220","0.36399999999999999","50.41","104840","29.69","66.25","57.69","61750","137800","119990","Data Engineering"
"2021","Maine","15-1243","database architects","detailed","160","0.27300000000000002","59.55","123870","45.58","68.900000000000006","62.42","94810","143310","129840","Data Architecture"
"2021","Maine","15-2031","operations research analysts","detailed","390","0.65800000000000003","37.32","77620","23.41","51.09","36.869999999999997","48690","106270","76680","Data Analytics"
"2021","Maine","15-2051","data scientists","detailed","540","0.91200000000000003","43.46","90410","29.45","61.74","38.54","61260","128430","80150","Data Science"
"2021","Maryland","00-0000","all occupations","total","2546000","1000","31.68","65900","13.24","60.87","23.3","27540","126610","48460","All US Occupations"
"2021","Maryland","15-1221","computer and information research scientists","detailed","2220","0.87","62.11","129200","38.79","82.93","63.14","80690","172490","131330","Machine Learning"
"2021","Maryland","15-1242","database administrators","detailed","2150","0.84599999999999997","48.25","100350","24.01","72.959999999999994","47.96","49930","151760","99750","Data Engineering"
"2021","Maryland","15-1243","database architects","detailed","620","0.24199999999999999","64","133120","36.450000000000003","92.13","63.31","75820","191630","131690","Data Architecture"
"2021","Maryland","15-2031","operations research analysts","detailed","4670","1.8340000000000001","50.5","105040","25.1","75.66","49.42","52210","157370","102800","Data Analytics"
"2021","Maryland","15-2051","data scientists","detailed","2280","0.89500000000000002","56.57","117660","35.770000000000003","79.790000000000006","55.84","74400","165960","116140","Data Science"
"2021","Massachusetts","00-0000","all occupations","total","3394470","1000","35.07","72940","14.51","62.97","28.14","30180","130970","58540","All US Occupations"
"2021","Massachusetts","15-1221","computer and information research scientists","detailed","**","**","67.06","139490","38.89","#","61.43","80880","#","127780","Machine Learning"
"2021","Massachusetts","15-1242","database administrators","detailed","2670","0.78600000000000003","54.69","113750","30.33","79.62","57.96","63090","165610","120550","Data Engineering"
"2021","Massachusetts","15-1243","database architects","detailed","1300","0.38400000000000001","67.569999999999993","140540","39.880000000000003","82.01","64.069999999999993","82950","170590","133260","Data Architecture"
"2021","Massachusetts","15-2031","operations research analysts","detailed","3360","0.98899999999999999","43.06","89560","23.68","62.79","38.51","49250","130600","80110","Data Analytics"
"2021","Massachusetts","15-2051","data scientists","detailed","2720","0.80100000000000005","53.63","111550","24.29","80.77","48.65","50520","168010","101200","Data Science"
"2021","Michigan","00-0000","all occupations","total","4059670","1000","26.52","55160","11.48","47.49","21.73","23880","98780","45190","All US Occupations"
"2021","Michigan","15-1221","computer and information research scientists","detailed","200","4.9000000000000002E-2","50.81","105680","30.06","81.7","47.95","62520","169940","99740","Machine Learning"
"2021","Michigan","15-1242","database administrators","detailed","1410","0.34699999999999998","40.590000000000003","84430","22.98","60.95","38.01","47800","126780","79050","Data Engineering"
"2021","Michigan","15-1243","database architects","detailed","680","0.16900000000000001","54.42","113190","36.880000000000003","75.37","58.03","76710","156770","120710","Data Architecture"
"2021","Michigan","15-2031","operations research analysts","detailed","1220","0.30099999999999999","40.409999999999997","84040","24.41","61.7","37.409999999999997","50760","128340","77800","Data Analytics"
"2021","Michigan","15-2051","data scientists","detailed","2990","0.73599999999999999","41.68","86680","23.76","62.53","38.33","49410","130060","79730","Data Science"
"2021","Minnesota","00-0000","all occupations","total","2735060","1000","29.08","60480","13.53","49.03","22.88","28140","101980","47590","All US Occupations"
"2021","Minnesota","15-1221","computer and information research scientists","detailed","140","5.0999999999999997E-2","61.47","127850","44.82","78.38","62.78","93230","163030","130590","Machine Learning"
"2021","Minnesota","15-1242","database administrators","detailed","1720","0.63","46.11","95910","24.37","63.3","47.76","50690","131660","99330","Data Engineering"
"2021","Minnesota","15-1243","database architects","detailed","890","0.32600000000000001","60.23","125270","46.07","76.89","58.03","95820","159930","120710","Data Architecture"
"2021","Minnesota","15-2031","operations research analysts","detailed","2230","0.81499999999999995","44.54","92640","28.62","62.39","38.57","59520","129760","80220","Data Analytics"
"2021","Minnesota","15-2051","data scientists","detailed","1320","0.48199999999999998","51.03","106130","36.17","72.959999999999994","48.68","75230","151760","101250","Data Science"
"2021","Mississippi","00-0000","all occupations","total","1101720","1000","20.53","42700","8.67","36.590000000000003","16.86","18040","76110","35070","All US Occupations"
"2021","Mississippi","15-1221","computer and information research scientists","detailed","640","0.58499999999999996","48.58","101050","33.659999999999997","57.69","49.41","70010","120000","102770","Machine Learning"
"2021","Mississippi","15-1242","database administrators","detailed","270","0.247","37.04","77030","22.38","59.65","36.93","46540","124070","76820","Data Engineering"
"2021","Mississippi","15-1243","database architects","detailed","120","0.113","43.13","89710","18","59.36","47.76","37440","123470","99340","Data Architecture"
"2021","Mississippi","15-2031","operations research analysts","detailed","200","0.17899999999999999","37.130000000000003","77240","19.3","60.08","36.93","40150","124970","76820","Data Analytics"
"2021","Mississippi","15-2051","data scientists","detailed","140","0.13","39.06","81240","17.739999999999998","62.36","36.619999999999997","36900","129710","76170","Data Science"
"2021","Missouri","00-0000","all occupations","total","2728100","1000","24.71","51390","11.04","44.75","18.329999999999998","22960","93080","38130","All US Occupations"
"2021","Missouri","15-1221","computer and information research scientists","detailed","190","6.9000000000000006E-2","48.88","101680","26.07","78.28","44.08","54230","162810","91680","Machine Learning"
"2021","Missouri","15-1242","database administrators","detailed","1590","0.58199999999999996","42.11","87580","22.78","62.14","38.54","47370","129240","80150","Data Engineering"
"2021","Missouri","15-1243","database architects","detailed","700","0.25600000000000001","52.81","109840","29.32","79.3","49.87","60990","164940","103730","Data Architecture"
"2021","Missouri","15-2031","operations research analysts","detailed","940","0.34300000000000003","38.880000000000003","80870","22.65","62.35","35.76","47120","129690","74370","Data Analytics"
"2021","Missouri","15-2051","data scientists","detailed","2630","0.96399999999999997","43.06","89570","23.67","62.19","38.380000000000003","49230","129340","79830","Data Science"
"2021","Montana","00-0000","all occupations","total","470230","1000","23.72","49340","10.96","38.33","18.29","22800","79730","38050","All US Occupations"
"2021","Montana","15-1242","database administrators","detailed","230","0.48599999999999999","34.9","72590","23.17","48.41","36.049999999999997","48190","100690","74980","Data Engineering"
"2021","Montana","15-2031","operations research analysts","detailed","140","0.28799999999999998","34.090000000000003","70900","29.71","46.46","29.71","61800","96630","61800","Data Analytics"
"2021","Montana","15-2051","data scientists","detailed","50","9.9000000000000005E-2","37.42","77830","22.78","60.98","36.24","47370","126840","75370","Data Science"
"2021","Nebraska","00-0000","all occupations","total","958260","1000","25.05","52110","11.2","44.82","18.649999999999999","23290","93220","38780","All US Occupations"
"2021","Nebraska","15-1221","computer and information research scientists","detailed","50","4.9000000000000002E-2","40.700000000000003","84660","23.34","57.39","37.18","48540","119370","77340","Machine Learning"
